day,mean,max
10-Nov-2018,10.9993863376704,17.1650009155273
11-Nov-2018,9.5826129882232,16.5709991455078
12-Nov-2018,9.66683274445218,16.7259998321533
13-Nov-2018,9.12721741199493,12.4340000152588
22-Nov-2018,7.27284914538974,13.2379999160767
26-Nov-2018,7.42747015739555,11.0679998397827
27-Nov-2018,7.2301768867337,11.7080001831055
28-Nov-2018,8.08199999067518,9.2180004119873
29-Nov-2018,7.17578725950092,10.3079996109009
30-Nov-2018,7.58318631821259,11.1630001068115
01-Dec-2018,5.12135273634001,9.65999984741211
02-Dec-2018,4.40440665933601,8.11200046539307
04-Dec-2018,8.61426581763014,11.4479999542236
05-Dec-2018,6.99403074067398,10.7309999465942
06-Dec-2018,5.89098246160306,11.0279998779297
11-Dec-2018,8.27237254498052,16.3899993896484
12-Dec-2018,6.46407408773163,10.7969999313354
13-Dec-2018,7.38337931550782,17.632999420166
14-Dec-2018,10.866008026123,17.0389995574951
17-Dec-2018,9.00347368340743,13.1829996109009
18-Dec-2018,5.47564159670184,8.77400016784668
19-Dec-2018,6.66957923799458,11.0229997634888
20-Dec-2018,6.51618624988355,11.3500003814697
21-Dec-2018,6.0075625218451,9.79300022125244
27-Dec-2018,9.76007333914439,15.1470003128052
28-Dec-2018,7.48032992745414,11.4270000457764
02-Jan-2019,11.6495468858629,16.0949993133545
03-Jan-2019,8.53451914995746,14.6000003814697
06-Jan-2019,8.77097508915803,14.4720001220703
07-Jan-2019,6.64118309423957,9.71000003814697
08-Jan-2019,8.00580765421574,14.6239995956421
09-Jan-2019,8.77257063025135,14.9930000305176
10-Jan-2019,7.65112142392567,11.25
13-Jan-2019,7.81499390645858,12.5489997863769
14-Jan-2019,5.29802415124301,8.05799961090088
15-Jan-2019,5.81081047781271,9.85400009155273
17-Jan-2019,5.61222963606843,10.503999710083
18-Jan-2019,5.24935634656884,7.41499996185303
22-Jan-2019,10.5476666802452,15.7430000305176
23-Jan-2019,11.0254698087429,17.7900009155273
24-Jan-2019,8.21087933408803,14.2600002288818
25-Jan-2019,14.3930649970605,19.2759990692139
26-Jan-2019,9.93172198557025,16.6089992523193
29-Jan-2019,11.9803620330219,17.3509998321533
30-Jan-2019,9.14233954784482,15.4849996566772
31-Jan-2019,7.86870394254986,13.954999923706
